Grupo,Logo,ID,Equipo,Pts,PJ,PG,PE,PP,GF,GC,Dif
Grupo A,SCH_logo,SCH,Schalke 23,0,0,0,0,0,0,0,0
Grupo A,PAB_logo,PAB,Pabellón A,0,0,0,0,0,0,0,0
Grupo A,DX1_logo,DX1,Dominio X+1,0,0,0,0,0,0,0,0
Grupo A,QUE_logo,QUE,El Queme,0,0,0,0,0,0,0,0
Grupo A,SZO_logo,SZO,San Zócalo,0,0,0,0,0,0,0,0
Grupo A,ANT_logo,ANT,Anti Canva F. C.,0,0,0,0,0,0,0,0
Grupo A,EXP_logo,EXP,Expensive Bottles,0,0,0,0,0,0,0,0
Grupo A,TAR_logo,TAR,Tartagal F. C.,0,0,0,0,0,0,0,0
Grupo B,GHO_logo,GHO,Ghostbusters,0,0,0,0,0,0,0,0
Grupo B,BAS_logo,BAS,Bastardos de Richard,0,0,0,0,0,0,0,0
Grupo B,ARQ_logo,ARQ,Arquero Fantasma,0,0,0,0,0,0,0,0
Grupo B,HDV_logo,HDV,Herederos de Vega,0,0,0,0,0,0,0,0
Grupo B,RAM_logo,RAM,Rama y sus Ramitas,0,0,0,0,0,0,0,0
Grupo B,EVS_logo,EVS,Evolutions F. C.,0,0,0,0,0,0,0,0
Grupo B,ADO_logo,ADO,Adobe F. C.,0,0,0,0,0,0,0,0
Grupo B,PMA_logo,PMA,Poca Magia F. C.,0,0,0,0,0,0,0,0
