Partido,Descripcion,Equipo1,Equipo2,Fecha,Hora,Resultado
1,Fase de grupos - Grupo A,PAB,SCH,Lun. 3/6,10:00,
2,Fase de grupos - Grupo A,DX1,QUE,Lun. 3/6,10:00,
3,Fase de grupos - Grupo A,SZO,ANT,Lun. 3/6,11:00,
4,Fase de grupos - Grupo A,EXP,TAR,Lun. 3/6,11:00,
5,Fase de grupos - Grupo B,ADO,PMA,Lun. 3/6,12:00,
6,Fase de grupos - Grupo B,ARQ,HDV,Lun. 3/6,12:00,
7,Fase de grupos - Grupo B,RAM,EVS,Lun. 3/6,13:00,
8,Fase de grupos - Grupo A,SCH,DX1,Lun. 3/6,13:00,
9,Fase de grupos - Grupo B,GHO,BAS,Lun. 3/6,14:00,
10,Fase de grupos - Grupo A,QUE,PAB,Lun. 3/6,14:00,
11,Fase de grupos - Grupo A,SZO,EXP,Lun. 3/6,15:00,
12,Fase de grupos - Grupo A,ANT,TAR,Lun. 3/6,15:00,
13,Fase de grupos - Grupo B,HDV,GHO,Mié. 5/6,10:00,
14,Fase de grupos - Grupo A,SCH,QUE,Mié. 5/6,10:00,
15,Fase de grupos - Grupo B,PMA,RAM,Mié. 5/6,11:00,
16,Fase de grupos - Grupo B,EVS,ADO,Mié. 5/6,11:00,
17,Fase de grupos - Grupo A,ANT,EXP,Mié. 5/6,12:00,
18,Fase de grupos - Grupo A,PAB,DX1,Mié. 5/6,12:00,
19,Fase de grupos - Grupo A,TAR,SZO,Mié. 5/6,13:00,
20,Fase de grupos - Grupo B,ADO,RAM,Mié. 5/6,13:00,
21,Fase de grupos - Grupo B,ARQ,GHO,Mié. 5/6,14:00,
22,Fase de grupos - Grupo B,HDV,BAS,Mié. 5/6,14:00,
23,Fase de grupos - Grupo B,BAS,ARQ,Mié. 5/6,15:00,
24,Fase de grupos - Grupo B,EVS,PMA,Mié. 5/6,15:00,
25,Copa de aluminio - Semifinal,7° A,8° B,Vie. 7/6,10:00,
26,Copa de aluminio - Semifinal,8° A,7° B,Vie. 7/6,10:00,
27,Medalla de plata - Semifinal,3° A,4° B,Vie. 7/6,11:00,
28,Medalla de plata - Semifinal,4° A,3° B,Vie. 7/6,11:00,
29,Medalla de bronce - Semifinal,5° A,6° B,Vie. 7/6,12:00,
30,Medalla de bronce - Semifinal,6° A,5° B,Vie. 7/6,12:00,
31,Copa de oro - Semifinal,1° A,2° B,Vie. 7/6,13:00,
32,Copa de oro - Semifinal,2° A,1° B,Vie. 7/6,13:00,
33,Copa de aluminio - Final,,,Vie. 7/6,14:00,
34,Medalla de plata - Final,,,Vie. 7/6,14:00,
35,Medalla de bronce - Final,,,Vie. 7/6,15:00,
36,Medalla de oro - Final,,,Vie. 7/6,15:00,
